EntryNumber,SequenceNumber,ParentEntryNumber,InUse,ParentPath,FileName,Extension,IsDirectory,Created0x10,Created0x30,LastModified0x10,LastAccess0x10,LastRecordChange0x10,FileSize,Flags,SI_Attributes
148520,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Google\Chrome\User Data\Default\Cache,data_2,,False,2025-06-14T18:00:00.0000000Z,2025-06-14T18:00:00.0000000Z,2026-04-12T09:21:18.0000000Z,2026-04-12T09:21:18.0000000Z,2026-04-12T09:21:18.0000000Z,204800,InUse,Archive
148521,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Google\Chrome\User Data\Default\Sessions,Session_13351212004,,False,2026-04-12T09:28:11.0000000Z,2026-04-12T09:28:11.0000000Z,2026-04-12T09:28:11.0000000Z,2026-04-12T09:28:11.0000000Z,2026-04-12T09:28:11.0000000Z,10241,InUse,Archive
148522,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Google\Chrome\User Data\Default,History-journal,,False,2026-04-12T09:41:27.9000000Z,2026-04-12T09:41:27.9000000Z,2026-04-12T09:41:27.9000000Z,2026-04-12T09:41:27.9000000Z,2026-04-12T09:41:27.9000000Z,8192,InUse,Archive
148612,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Temp,~DFA8B12.tmp,tmp,False,2026-04-12T09:34:00.0000000Z,2026-04-12T09:34:00.0000000Z,2026-04-12T09:34:00.0000000Z,2026-04-12T09:34:00.0000000Z,2026-04-12T09:34:00.0000000Z,32768,InUse,Archive
148900,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Temp,OICE_16_974FA576.0FF_2026-04-12,,True,2026-04-12T09:34:14.0000000Z,2026-04-12T09:34:14.0000000Z,2026-04-12T09:34:14.0000000Z,2026-04-12T09:34:14.0000000Z,2026-04-12T09:34:14.0000000Z,0,InUse,Directory
148940,1,5,True,\Windows\SoftwareDistribution\Download\Install,AM_Delta_Patch_1.409.201.0.exe,exe,False,2026-04-12T09:45:33.0000000Z,2026-04-12T09:45:33.0000000Z,2026-04-12T09:45:33.0000000Z,2026-04-12T09:45:33.0000000Z,2026-04-12T09:45:33.0000000Z,3145728,InUse,Archive
149000,1,5,True,\Windows\Prefetch,POWERSHELL.EXE-A97112F1.pf,pf,False,2024-11-08T15:11:07.0000000Z,2024-11-08T15:11:07.0000000Z,2026-04-12T09:40:47.0000000Z,2026-04-12T09:40:47.0000000Z,2026-04-12T09:40:47.0000000Z,45012,InUse,Archive
149001,1,5,True,\Windows\Prefetch,ONEDRIVESYNC.EXE-B12211FA.pf,pf,False,2026-04-12T09:40:53.5000000Z,2026-04-12T09:40:53.5000000Z,2026-04-12T09:40:53.5000000Z,2026-04-12T09:40:53.5000000Z,2026-04-12T09:40:53.5000000Z,7311,InUse,Archive
149002,1,5,True,\Windows\Prefetch,7Z.EXE-D51102FA.pf,pf,False,2025-06-10T12:00:00.0000000Z,2025-06-10T12:00:00.0000000Z,2026-04-12T09:41:31.9000000Z,2026-04-12T09:41:31.9000000Z,2026-04-12T09:41:31.9000000Z,12008,InUse,Archive
149003,1,5,True,\Windows\Prefetch,GPUPDATE.EXE-3401A2BB.pf,pf,False,2024-11-08T15:11:07.0000000Z,2024-11-08T15:11:07.0000000Z,2026-04-12T09:02:33.0000000Z,2026-04-12T09:02:33.0000000Z,2026-04-12T09:02:33.0000000Z,15022,InUse,Archive
183421,7,148012,False,\Users\katerina.morfopoulou\AppData\Local\Temp,WwaCJ7z,,True,2026-04-12T09:41:14.0187500Z,2026-04-12T09:41:14.0187500Z,2026-04-12T09:41:41.4531250Z,2026-04-12T09:41:41.4531250Z,2026-04-12T09:41:41.4531250Z,0,Deleted,Directory
183422,3,183421,False,\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z,System.txt,txt,False,2026-04-12T09:41:27.0117187Z,2026-04-12T09:41:27.0117187Z,2026-04-12T09:41:27.0117187Z,2026-04-12T09:41:31.8720000Z,2026-04-12T09:41:41.4218750Z,1876,Deleted,Archive
183423,3,183421,False,\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z,stealer_bundle.zip,zip,False,2026-04-12T09:41:31.8871093Z,2026-04-12T09:41:31.8871093Z,2026-04-12T09:41:33.1015625Z,2026-04-12T09:41:41.4531250Z,2026-04-12T09:41:41.4531250Z,3145728,Deleted,Archive
183424,3,183421,False,\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z,Local State,,False,2026-04-12T09:41:22.1000000Z,2026-04-12T09:41:22.1000000Z,2026-04-12T09:41:22.1000000Z,2026-04-12T09:41:31.8720000Z,2026-04-12T09:41:41.4218750Z,3211,Deleted,Archive
183425,3,183421,False,\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z,Login Data,,False,2026-04-12T09:41:23.4531250Z,2026-04-12T09:41:23.4531250Z,2026-04-12T09:41:23.4531250Z,2026-04-12T09:41:31.8720000Z,2026-04-12T09:41:41.4218750Z,40960,Deleted,Archive
183426,3,183421,False,\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z,Cookies,,False,2026-04-12T09:41:23.5312500Z,2026-04-12T09:41:23.5312500Z,2026-04-12T09:41:23.5312500Z,2026-04-12T09:41:31.8720000Z,2026-04-12T09:41:41.4218750Z,90112,Deleted,Archive
183427,3,183421,False,\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z,Northwind_Q4_earnings.docx,docx,False,2026-04-12T09:41:29.0117187Z,2026-04-12T09:41:29.0117187Z,2026-04-12T09:41:29.0117187Z,2026-04-12T09:41:31.8720000Z,2026-04-12T09:41:41.4218750Z,148993,Deleted,Archive
183428,3,183421,False,\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z,expenses-summary.xlsx,xlsx,False,2026-04-12T09:41:29.4531250Z,2026-04-12T09:41:29.4531250Z,2026-04-12T09:41:29.4531250Z,2026-04-12T09:41:31.8720000Z,2026-04-12T09:41:41.4218750Z,52941,Deleted,Archive
183429,3,183421,False,\Users\katerina.morfopoulou\AppData\Local\Temp\WwaCJ7z,todo.txt,txt,False,2026-04-12T09:41:29.5312500Z,2026-04-12T09:41:29.5312500Z,2026-04-12T09:41:29.5312500Z,2026-04-12T09:41:31.8720000Z,2026-04-12T09:41:41.4218750Z,412,Deleted,Archive
183500,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Temp,chrome_BITS_4120_10222,,True,2026-04-12T09:44:00.0000000Z,2026-04-12T09:44:00.0000000Z,2026-04-12T09:44:00.0000000Z,2026-04-12T09:44:00.0000000Z,2026-04-12T09:44:00.0000000Z,0,InUse,Directory
183611,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Temp,VSCode-Log-9911.log,log,False,2026-04-12T09:50:00.0000000Z,2026-04-12T09:50:00.0000000Z,2026-04-12T09:50:00.0000000Z,2026-04-12T09:50:00.0000000Z,2026-04-12T09:50:00.0000000Z,8192,InUse,Archive
183700,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Temp,~$OneDrive-cache-idx,idx,False,2026-04-12T09:50:11.0000000Z,2026-04-12T09:50:11.0000000Z,2026-04-12T09:50:11.0000000Z,2026-04-12T09:50:11.0000000Z,2026-04-12T09:50:11.0000000Z,2048,InUse,Archive
183711,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Temp,MpCmdRun-log_20260412094611.log,log,False,2026-04-12T09:46:11.0000000Z,2026-04-12T09:46:11.0000000Z,2026-04-12T09:46:11.0000000Z,2026-04-12T09:46:11.0000000Z,2026-04-12T09:46:11.0000000Z,12008,InUse,Archive
148114,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\logs\Business1,SyncEngine-2026-04-12.odl,odl,False,2026-04-12T09:19:44.0140000Z,2026-04-12T09:19:44.0140000Z,2026-04-12T09:53:44.1810000Z,2026-04-12T09:53:44.1810000Z,2026-04-12T09:53:44.1810000Z,102400,InUse,Archive
148125,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Google\Chrome\User Data\Default,Preferences,,False,2025-06-14T18:00:00.0000000Z,2025-06-14T18:00:00.0000000Z,2026-04-12T09:16:44.1110000Z,2026-04-12T09:16:44.1110000Z,2026-04-12T09:16:44.1110000Z,18432,InUse,Archive
148136,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Google\Chrome\User Data\Default\Cache,data_3,,False,2025-06-14T18:00:00.0000000Z,2025-06-14T18:00:00.0000000Z,2026-04-12T09:39:04.0010000Z,2026-04-12T09:39:04.0010000Z,2026-04-12T09:39:04.0010000Z,81920,InUse,Archive
148144,1,148012,True,\Users\katerina.morfopoulou\AppData\Roaming\Microsoft\Teams\Cache,f_00001b,,False,2025-08-01T12:00:00.0000000Z,2025-08-01T12:00:00.0000000Z,2026-04-12T09:36:44.8810000Z,2026-04-12T09:36:44.8810000Z,2026-04-12T09:36:44.8810000Z,22528,InUse,Archive
148401,1,148012,True,\ProgramData\Microsoft\Windows Defender\Support,MPLog-20260412-093300.log,log,False,2026-04-12T09:33:44.0100000Z,2026-04-12T09:33:44.0100000Z,2026-04-12T09:47:00.0000000Z,2026-04-12T09:47:00.0000000Z,2026-04-12T09:47:00.0000000Z,42011,InUse,Archive
148441,1,148012,True,\ProgramData\Microsoft\Windows Defender\Definition Updates\{5C3E1EAF-1234-4A56-B789-A0B1C2D3E4F5},mpengine.dll,dll,False,2026-04-12T09:47:44.3110000Z,2026-04-12T09:47:44.3110000Z,2026-04-12T09:47:44.3110000Z,2026-04-12T09:47:44.3110000Z,2026-04-12T09:47:44.3110000Z,18240000,InUse,Archive
148470,1,148012,True,\Users\katerina.morfopoulou\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations,1bc392b8e104a00e.customDestinations-ms,customDestinations-ms,False,2025-11-04T09:00:00.0000000Z,2025-11-04T09:00:00.0000000Z,2026-04-12T09:43:14.2210000Z,2026-04-12T09:43:14.2210000Z,2026-04-12T09:43:14.2210000Z,4096,InUse,Archive
183440,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Temp,MSI0e8f4.LOG,LOG,False,2026-04-12T09:07:44.3110000Z,2026-04-12T09:07:44.3110000Z,2026-04-12T09:07:44.3110000Z,2026-04-12T09:07:44.3110000Z,2026-04-12T09:07:44.3110000Z,6144,InUse,Archive
183510,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Temp,SearchProtocolHost-Cache,,True,2026-04-12T09:14:12.4010000Z,2026-04-12T09:14:12.4010000Z,2026-04-12T09:14:12.4010000Z,2026-04-12T09:14:12.4010000Z,2026-04-12T09:14:12.4010000Z,0,InUse,Directory
183520,1,183510,True,\Users\katerina.morfopoulou\AppData\Local\Temp\SearchProtocolHost-Cache,fltMgrCache.dat,dat,False,2026-04-12T09:14:12.4010000Z,2026-04-12T09:14:12.4010000Z,2026-04-12T09:14:22.4010000Z,2026-04-12T09:14:22.4010000Z,2026-04-12T09:14:22.4010000Z,16384,InUse,Archive
183740,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Temp,Zoom_Update_20260412.log,log,False,2026-04-12T09:34:20.0000000Z,2026-04-12T09:34:20.0000000Z,2026-04-12T09:34:20.0000000Z,2026-04-12T09:34:20.0000000Z,2026-04-12T09:34:20.0000000Z,2048,InUse,Archive
183760,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Programs\Microsoft VS Code,Code.exe,exe,False,2025-03-04T17:44:00.0000000Z,2025-03-04T17:44:00.0000000Z,2026-04-12T09:50:00.0000000Z,2026-04-12T09:50:00.0000000Z,2025-03-04T17:44:00.0000000Z,156893184,InUse,Archive
