RecordNumber,EventId,TimeCreated,Provider,Computer,Channel,LogonType,TargetUserName,TargetDomainName,IpAddress,IpPort,ProcessName
7415441,4720,2026-04-12T09:31:03.021Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,NORTHWIND\katerina.morfopoulou,NORTHWIND,-,-,-
7415442,4624,2026-04-12T09:34:11.213Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,2,katerina.morfopoulou,NORTHWIND,10.10.42.87,-,C:\Windows\System32\svchost.exe
7415443,4672,2026-04-12T09:34:11.219Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,-
7415500,4624,2026-04-12T09:34:14.007Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\services.exe
7415511,4634,2026-04-12T09:34:14.552Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,3,FIN-WKS-07$,NORTHWIND,-,-,-
7415512,4688,2026-04-12T09:34:14.700Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Windows\explorer.exe
7415520,4688,2026-04-12T09:34:16.101Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\OneDrive.exe
7415521,4688,2026-04-12T09:34:16.442Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Program Files\Northwind\Timekeeper\NWTK.exe
7415522,4688,2026-04-12T09:34:16.881Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Users\katerina.morfopoulou\AppData\Roaming\Zoom\bin\Zoom.exe
7415888,4634,2026-04-12T09:38:56.111Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,LOCAL SERVICE,NT AUTHORITY,-,-,-
7415902,4688,2026-04-12T09:39:12.900Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Program Files\Google\Chrome\Application\chrome.exe
7416011,4688,2026-04-12T09:39:44.021Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Users\katerina.morfopoulou\AppData\Local\slack\slack.exe
7416020,4688,2026-04-12T09:40:12.001Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Program Files\Google\Chrome\Application\chrome.exe
7418902,4624,2026-04-12T09:40:47.041Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,7,katerina.morfopoulou,NORTHWIND,-,-,C:\Windows\System32\LogonUI.exe
7418907,4688,2026-04-12T09:40:47.204Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
7418913,4688,2026-04-12T09:40:48.912Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Program Files\Google\Chrome\Application\chrome.exe
7418922,4688,2026-04-12T09:40:52.010Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Windows\System32\conhost.exe
7418991,4688,2026-04-12T09:40:53.011Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe
7419023,4688,2026-04-12T09:40:58.301Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Windows\System32\notepad.exe
7419044,4688,2026-04-12T09:41:00.981Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
7419101,4657,2026-04-12T09:41:19.502Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe
7419112,4663,2026-04-12T09:41:22.100Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe
7419188,4688,2026-04-12T09:41:24.800Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Windows\System32\msiexec.exe
7419220,4663,2026-04-12T09:41:27.014Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update\OneDriveSync.exe
7419228,4634,2026-04-12T09:41:30.043Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,LOCAL SERVICE,NT AUTHORITY,-,-,-
7419334,4688,2026-04-12T09:41:31.870Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Program Files\7-Zip\7z.exe
7419345,4663,2026-04-12T09:41:33.100Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Program Files\7-Zip\7z.exe
7419400,4688,2026-04-12T09:41:44.011Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Program Files\Google\Chrome\Application\chrome.exe
7419425,4688,2026-04-12T09:42:11.221Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\SearchProtocolHost.exe
7419501,4634,2026-04-12T09:43:11.222Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,LOCAL SERVICE,NT AUTHORITY,-,-,-
7419560,4688,2026-04-12T09:44:00.014Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\MicrosoftEdgeUpdate.exe
7419602,4624,2026-04-12T09:45:00.014Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\services.exe
7419620,4688,2026-04-12T09:46:22.011Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Program Files\Windows Defender\MpCmdRun.exe
7419700,4688,2026-04-12T09:50:00.014Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Users\katerina.morfopoulou\AppData\Local\Programs\Microsoft VS Code\Code.exe
7419800,4634,2026-04-12T09:52:11.001Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,3,FIN-WKS-07$,NORTHWIND,-,-,-
7419900,4624,2026-04-12T09:57:11.311Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,3,edr-collector,NORTHWIND,10.10.10.30,-,C:\Windows\System32\svchost.exe
7419901,4672,2026-04-12T09:57:11.399Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,edr-collector,NORTHWIND,-,-,-
7419902,4688,2026-04-12T09:57:12.011Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,edr-collector,NORTHWIND,-,-,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
7415088,4624,2026-04-12T09:06:10.221Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,LOCAL SERVICE,NT AUTHORITY,-,-,C:\Windows\System32\svchost.exe
7415090,4688,2026-04-12T09:07:44.311Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\dllhost.exe
7415092,4624,2026-04-12T09:08:14.010Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,NETWORK SERVICE,NT AUTHORITY,-,-,C:\Windows\System32\svchost.exe
7415095,4634,2026-04-12T09:09:44.201Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,LOCAL SERVICE,NT AUTHORITY,-,-,-
7415101,4688,2026-04-12T09:11:00.221Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\wbem\WmiPrvSE.exe
7415103,4624,2026-04-12T09:11:44.311Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,3,FIN-WKS-07$,NORTHWIND,10.10.10.11,-,C:\Windows\System32\lsass.exe
7415110,4634,2026-04-12T09:12:11.001Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,3,FIN-WKS-07$,NORTHWIND,-,-,-
7415120,4688,2026-04-12T09:14:12.401Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\SearchProtocolHost.exe
7415130,4624,2026-04-12T09:16:44.111Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\services.exe
7415145,4688,2026-04-12T09:22:44.221Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\taskhostw.exe
7415158,4688,2026-04-12T09:26:33.881Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Users\katerina.morfopoulou\AppData\Local\slack\slack.exe
7415170,4624,2026-04-12T09:29:14.222Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,3,FIN-WKS-07$,NORTHWIND,10.10.10.11,-,C:\Windows\System32\lsass.exe
7415180,4688,2026-04-12T09:30:14.101Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\audiodg.exe
7415195,4634,2026-04-12T09:32:11.501Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,3,FIN-WKS-07$,NORTHWIND,-,-,-
7415210,4688,2026-04-12T09:33:44.010Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Program Files\Windows Defender\MpCmdRun.exe
7415240,4624,2026-04-12T09:36:00.011Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,LOCAL SERVICE,NT AUTHORITY,-,-,C:\Windows\System32\svchost.exe
7415252,4634,2026-04-12T09:37:44.201Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,LOCAL SERVICE,NT AUTHORITY,-,-,-
7419430,4688,2026-04-12T09:42:44.101Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\taskhostw.exe
7419550,4624,2026-04-12T09:43:00.014Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,LOCAL SERVICE,NT AUTHORITY,-,-,C:\Windows\System32\svchost.exe
7419640,4688,2026-04-12T09:46:00.021Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Program Files\Windows Defender\MsMpEng.exe
7419680,4634,2026-04-12T09:48:00.211Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,LOCAL SERVICE,NT AUTHORITY,-,-,-
7419720,4624,2026-04-12T09:51:00.001Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,3,FIN-WKS-07$,NORTHWIND,10.10.10.11,-,C:\Windows\System32\lsass.exe
7419750,4688,2026-04-12T09:53:44.181Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\OneDrive.exe
7419820,4634,2026-04-12T09:54:11.221Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,3,FIN-WKS-07$,NORTHWIND,-,-,-
7419850,4688,2026-04-12T09:55:00.111Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\conhost.exe
7419870,4624,2026-04-12T09:56:00.088Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\services.exe
7419911,4688,2026-04-12T09:57:44.001Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,edr-collector,NORTHWIND,-,-,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
